timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
27,2,2728000.0,63000.0,102567.05864268697,704.6403503417969,16.27427864074707,26.493044693348512,33539.0,2,1286.0,1252.7733149720757,8.444205284118652,0.3237648010253906,0.31541608813781014,0.7776049766718507,0.7982290076335878
28,2,2775000.0,65000.0,101176.81888831324,716.7788505554199,16.785799026489258,26.13380978598195,34792.0,2,1215.0,1251.3816225775552,8.759658813476562,0.30582332611083984,0.3150626594285415,0.823045267489712,0.7991167378183424
29,2,2868000.0,53000.0,99457.56905288702,740.7969989776611,13.691008567810059,25.689772914303557,36086.0,2,1310.0,1253.4645725250516,9.085478782653809,0.3298530578613281,0.3155882225879753,0.7633587786259542,0.7977888022678951
30,2,2929000.0,81000.0,98821.5836262146,756.5721635818481,20.918182373046875,25.525360036443427,37401.0,2,1308.0,1255.335941253174,9.416552543640137,0.32938289642333984,0.3160615831615586,0.764525993883792,0.7965995134352022
31,2,3016000.0,69000.0,97828.25927653055,779.0363540649414,17.83962917327881,25.269356743419493,38680.0,2,1298.0,1256.7513768164024,9.738553047180176,0.32674312591552734,0.3164159572161658,0.7704160246533128,0.7957023309838706
32,2,3119000.0,91000.0,97608.149055509,805.6472911834717,23.507807731628418,25.212572879974484,39939.0,2,1272.0,1257.241024982339,10.055582046508789,0.3202180862426758,0.31653804728830337,0.7861635220125787,0.795392434807039
33,2,3211000.0,100000.0,97682.84304540629,829.411958694458,25.831503868103027,25.231901185143695,41223.0,2,1262.0,1257.3890859311803,10.378743171691895,0.3177967071533203,0.31657720663946437,0.7923930269413629,0.795298775207225
34,2,3314000.0,92000.0,97510.75040881836,856.0300598144531,23.76132869720459,25.18736807122149,42505.0,2,1291.0,1258.4032345664111,10.701513290405273,0.3249979019165039,0.3168312859128045,0.774593338497289,0.7946578429962116
35,2,3422000.0,102000.0,97642.7017812004,883.938642501831,26.366076469421387,25.22201354762499,43751.0,2,1285.0,1259.182238884658,11.015252113342285,0.32347679138183594,0.31702592903473736,0.7782101167315175,0.7941662208369193
36,2,3521000.0,111000.0,98024.09913768488,909.5040407180786,28.670724868774414,25.320486259667405,44997.0,2,1235.0,1258.4941096124294,11.328957557678223,0.3109092712402344,0.3168518735514267,0.8097165991902834,0.7946004612671279
37,2,3625000.0,99000.0,98051.1909388707,936.3637180328369,25.571118354797363,25.32744401035115,46259.0,2,1246.0,1258.1484145869072,11.646739959716797,0.3137798309326172,0.316766874309027,0.8025682182985554,0.7948187895847995
38,2,3718000.0,103000.0,98184.86305440009,960.373815536499,26.608366012573242,25.362042951581287,47417.0,2,1186.0,1256.2059124441332,11.9382963180542,0.29864978790283203,0.31627909534165327,0.8431703204047217,0.7960478374555274
39,2,3821000.0,93000.0,98048.4982378623,986.969090461731,24.000561714172363,25.326235228752164,48710.0,2,1244.0,1255.885900057679,12.263819694519043,0.3131113052368164,0.3161960427983982,0.8038585209003215,0.7962506784685399
40,2,3923000.0,102000.0,98149.76167290247,1013.3172903060913,26.338833808898926,25.35218465677089,49988.0,2,1306.0,1257.1662153185835,12.585541725158691,0.32886600494384766,0.31651973505084946,0.7656967840735069,0.7954397658917249
41,2,4025000.0,103000.0,98270.95097696267,1039.689435005188,26.610556602478027,25.383626662310522,51213.0,2,1232.0,1256.539285536346,12.893959999084473,0.31018829345703125,0.31636200893870214,0.8116883116883117,0.7958366375892149
42,2,4130000.0,102000.0,98361.85461459705,1066.8340854644775,26.37126064300537,25.407702377309665,52500.0,2,1260.0,1256.6234018764278,13.218003273010254,0.3171424865722656,0.31638097927639997,0.7936507936507936,0.7957833655705996
43,2,4232000.0,103000.0,98472.22883251631,1093.1826858520508,26.623305320739746,25.436630151890363,53772.0,2,1291.0,1257.439134355275,13.538293838500977,0.3251628875732422,0.31658936777948105,0.774593338497289,0.7952671208318394
44,2,4329000.0,103000.0,98577.47199107434,1118.2441759109497,26.60975456237793,25.463898163849073,55042.0,2,1242.0,1257.0812665152287,13.857987403869629,0.31264400482177734,0.31649791715230324,0.8051529790660226,0.7954935187063227
45,2,4411000.0,98000.0,98564.35418654309,1139.4285669326782,25.32303810119629,25.460698398671372,56281.0,2,1287.0,1257.759050337547,14.169930458068848,0.323944091796875,0.31666660399577595,0.777000777000777,0.795064841498559
46,2,4498000.0,84000.0,98240.86002398828,1161.8975811004639,21.692234992980957,25.37699568875865,57570.0,2,1257.0,1257.7422356120685,14.494476318359375,0.3165616989135742,0.3166642801048938,0.7955449482895783,0.7950754707011642
47,2,4607000.0,85000.0,97953.15283994611,1190.0652837753296,21.961403846740723,25.302779187041693,58867.0,2,1276.0,1258.1379220666638,14.821000099182129,0.32122230529785156,0.31676306267160004,0.7836990595611285,0.794825418152378
48,2,4716000.0,111000.0,98230.6154565948,1218.2252779006958,28.682589530944824,25.374656400769375,60109.0,2,1260.0,1258.1774214076618,15.13382339477539,0.3171653747558594,0.3167715967194609,0.7936507936507936,0.7948004653280056
49,2,4810000.0,102000.0,98309.10832535088,1242.5272150039673,26.350626945495605,25.394979805557313,61408.0,2,1283.0,1258.6930331103817,15.460795402526855,0.32306385040283203,0.3169022986779041,0.779423226812159,0.7944748828305499
50,2,4913000.0,101000.0,98363.99983680797,1269.1513557434082,26.111393928527832,25.409593940496123,62663.0,2,1266.0,1258.8417239835578,15.776707649230957,0.31881141662597656,0.31694114768584175,0.7898894154818326,0.7943810416734021
51,2,5014000.0,98000.0,98356.72304186158,1295.2649784088135,25.33026885986328,25.408008136637164,63947.0,2,1295.0,1259.5628415300546,16.100028038024902,0.3259429931640625,0.3171206747385764,0.7722007722007722,0.7939262472885033
52,2,5117000.0,104000.0,98467.32781937203,1321.8795309066772,26.896920204162598,25.437189902689564,65232.0,2,1280.0,1259.9624574713541,16.42351245880127,0.3223304748535156,0.317222544045896,0.78125,0.7936744417027484
53,2,5217000.0,103000.0,98554.45772942217,1347.7213010787964,26.610729217529297,25.45974842244735,66506.0,2,1286.0,1260.4618158106707,16.744315147399902,0.3237333297729492,0.3173474104823015,0.7776049766718507,0.793360010955069
54,2,5323000.0,100000.0,98581.72079514165,1375.0935564041138,25.837462425231934,25.46687214472838,67791.0,2,1271.0,1260.660118173949,17.067852020263672,0.3200540542602539,0.31739834277273,0.7867820613690008,0.7932352150938891
55,2,5427000.0,105000.0,98700.52941394247,1401.9653434753418,27.116814613342285,25.49741419183167,69044.0,2,1278.0,1260.9803849137452,17.383234977722168,0.32172203063964844,0.31747820106882024,0.7824726134585289,0.7930337473634872
56,2,5527000.0,103000.0,98778.67035004181,1427.8032207489014,26.608789443969727,25.51761293510051,70302.0,2,1235.0,1260.5092307134307,17.699997901916504,0.3109283447265625,0.3173594194442463,0.8097165991902834,0.7933301681844994
57,2,5593000.0,92000.0,98657.67020099246,1444.8468894958496,23.77312183380127,25.486473541624743,71571.0,2,1285.0,1260.9454597271204,18.019472122192383,0.3235321044921875,0.31746936716694835,0.7782101167315175,0.7930557125098882
58,2,5677000.0,66000.0,98084.94966854899,1466.5758609771729,17.043668746948242,25.33841130608975,72788.0,2,1205.0,1259.9663994959924,18.325926780700684,0.30341148376464844,0.3172233505171584,0.8298755186721992,0.7936719585538287
59,2,5758000.0,94000.0,98014.54620661128,1487.492880821228,24.311878204345703,25.320719170318075,74083.0,2,1276.0,1260.242165732173,18.651968955993652,0.3213071823120117,0.31729358944589925,0.7836990595611285,0.7934982872272187
60,2,5859000.0,83000.0,97760.15722950765,1513.5941171646118,21.432717323303223,25.254845397029897,75378.0,2,1294.0,1260.8129586419127,18.97801113128662,0.32567691802978516,0.31743533860189477,0.7727975270479135,0.7931390561508442
61,2,5933000.0,91000.0,97647.52923927893,1532.7118511199951,23.521377563476562,25.225964856002385,76653.0,2,1278.0,1261.09873299857,19.299052238464355,0.3217639923095703,0.3175073124921491,0.7824726134585289,0.7929593249390203
62,2,6000000.0,72000.0,97227.22952377831,1550.0238571166992,18.59898853302002,25.117365067024927,77952.0,2,1305.0,1261.8167544404828,19.626078605651855,0.32857227325439453,0.3176882840135623,0.7662835249042146,0.7925081011017499
63,2,6090000.0,74000.0,96852.72967656638,1573.2964487075806,19.122794151306152,25.020712735340705,79196.0,2,1260.0,1261.7875189083068,19.939302444458008,0.31731510162353516,0.3176822786968678,0.7936507936507936,0.7925264634612932
64,2,6201000.0,93000.0,96791.59658531942,1601.9579973220825,24.047616958618164,25.00527216257687,80460.0,2,1244.0,1261.5058122960945,20.257512092590332,0.3131828308105469,0.3176110195051045,0.8038585209003215,0.7927034423883296
65,2,6274000.0,101000.0,96857.33029271188,1620.8228359222412,26.075735092163086,25.021992398270633,81720.0,2,1282.0,1261.8253250600233,20.574722290039062,0.3227396011352539,0.3176909761891828,0.7800312012480499,0.792502718197094
66,2,6360000.0,82000.0,96628.83331795392,1643.0362186431885,21.19330883026123,24.96310950374248,83006.0,2,1270.0,1261.9508151423047,20.898449897766113,0.3197603225708008,0.31772274288933966,0.7874015748031497,0.7924239106634552
67,2,6437000.0,92000.0,96558.7228499591,1662.9187030792236,23.760912895202637,24.944900473289906,84301.0,2,1281.7182817182818,1262.2499735421738,21.224778175354004,0.3227887453732791,0.3177994111457904,0.7802026500389712,0.7922361029596713
68,2,6541000.0,76000.0,96251.97696278834,1689.7928628921509,19.629533767700195,24.865592683227096,85499.0,2,1233.2332332332332,1261.8182359774808,21.52614688873291,0.31033936921540684,0.31768841382833707,0.8108766233766234,0.7925071705952479
69,2,6597000.0,90000.0,96160.06586104495,1704.264323234558,23.251110076904297,24.841857970835182,86791.0,2,1257.0,1261.7475272225647,21.851408004760742,0.3165569305419922,0.3176718090429427,0.7955449482895783,0.7925515829630836
70,2,6597000.0,56000.0,95578.22143664338,1704.264323234558,14.471460342407227,24.691610258099708,88065.0,2,1315.0,1262.5177171617831,22.17219066619873,0.3310432434082031,0.31786519995389784,0.7604562737642585,0.7920680925160093
71,2,6688000.0,56000.0,95578.22143664338,1727.7793655395508,14.471460342407227,24.691610258099708,89335.0,2,1245.0,1262.2679706880328,22.491936683654785,0.31346893310546875,0.3178025232858754,0.8032128514056225,0.7922248074273194
72,2,6810000.0,51000.0,94322.88586635127,1759.3051271438599,13.178696632385254,24.36740329052024,90618.0,2,1289.0,1262.6437266312446,22.81528663635254,0.32459354400634766,0.3178979805505077,0.7757951900698216,0.7919890456098946
73,2,6927000.0,124000.0,94734.94210102467,1789.5330781936646,32.04493808746338,24.474003146077475,91904.0,2,1276.0,1262.828865293449,23.138733863830566,0.3211698532104492,0.3179433337796938,0.7836990595611285,0.7918729350295819
74,2,6979000.0,115000.0,95012.4619977541,1802.9707736968994,29.705735206604004,24.545649116614115,93176.0,2,1285.0,1263.1319898280058,23.459040641784668,0.3234720230102539,0.3180189222135698,0.7782101167315175,0.7916829025414556
75,2,7052000.0,46000.0,94350.32828078138,1821.8311395645142,11.892553329467773,24.374712154803486,94458.0,2,1270.0,1263.2246230206902,23.78176975250244,0.3198528289794922,0.3180436572728604,0.7874015748031497,0.7916248478506908
76,2,7137000.0,68000.0,93999.09359921089,1843.7895917892456,17.56619644165039,24.28395856634739,95721.0,2,1286.0,1263.5277208485268,24.099703788757324,0.32367706298828125,0.31811862740561464,0.7776049766718507,0.7914349511290866
77,2,7243000.0,94000.0,93999.10552208571,1871.174843788147,24.29030990600586,24.284042112421666,96999.0,2,1262.0,1263.507656746605,24.42144012451172,0.3177452087402344,0.31811372316530867,0.7923930269413629,0.7914475188657673
78,2,7346000.0,106000.0,94154.91677702474,1897.783779144287,27.38213539123535,24.32426559764425,98240.0,2,1238.0,1263.1769982629437,24.73397731781006,0.3118019104003906,0.3180319024610889,0.8077544426494345,0.7916546939780797
79,2,7449000.0,104000.0,94281.10020250698,1924.4132766723633,26.870083808898926,24.35689508947033,99532.0,2,1281.0,1263.4050830539275,25.059224128723145,0.32243824005126953,0.31808829131202926,0.78064012490242,0.791511775132945
80,2,7549000.0,98000.0,94328.16177773278,1950.256365776062,25.32751750946045,24.3691780286517,100830.0,2,1290.0,1263.7411235500747,25.386067390441895,0.3248405456542969,0.3181736095291866,0.7751937984496124,0.7913013048042794
81,2,7627000.0,106000.0,94474.01964459773,1970.385661125183,27.395800590515137,24.407000409520254,102082.0,2,1293.0,1264.1062114746326,25.70124912261963,0.32547569274902344,0.31826472384153015,0.7733952049497294,0.791072768192048
82,2,7729000.0,79000.0,94283.03423761447,1996.742338180542,20.384692192077637,24.357355767109024,103362.0,2,1263.0,1264.0925784427302,26.02348041534424,0.3179588317871094,0.31826095400526266,0.7917656373713381,0.7910812997825897
83,2,7772000.0,90000.0,94230.81612250372,2007.8471851348877,23.260659217834473,24.34398500622445,104639.0,2,1282.0,1264.310584110443,26.34498882293701,0.3228034973144531,0.31831625510955996,0.7800312012480499,0.7909448932625923
84,2,7861000.0,53000.0,93734.1909373419,2030.850359916687,13.688314437866211,24.2156374529451,105946.0,2,1271.0,1264.3910418320465,26.67408847808838,0.3200263977050781,0.3183368240469865,0.7867820613690008,0.7908945626117727
85,2,7910000.0,91000.0,93701.6495679703,2043.5172834396362,23.518059730529785,24.207335130667417,107224.0,2,1311.0,1264.9449739725703,26.995817184448242,0.33000946044921875,0.31847554949209395,0.7627765064836003,0.7905482219194814
86,2,7976000.0,37000.0,93034.74394862505,2060.559094429016,9.568571090698242,24.035158940505234,108486.0,2,1259.0,1264.8751497498297,27.313634872436523,0.3170013427734375,0.3184582348093445,0.7942811755361397,0.7905918621278808
87,2,8055000.0,75000.0,92825.09125572527,2080.9759197235107,19.37109088897705,23.980939461168227,109742.0,2,1255.4890219560878,1264.765973254086,27.62985610961914,0.31609830266225364,0.31843078481849907,0.7965023847376789,0.790660107203172
88,2,8158000.0,74000.0,92608.76559950357,2107.588786125183,19.12052059173584,23.925086701297936,110964.0,2,1219.438877755511,1264.2468614445388,27.93752098083496,0.30711657537487086,0.31830120802401723,0.8200493015612161,0.790984759778159
89,2,8256000.0,111000.0,92817.7046647429,2132.903100967407,28.681074142456055,23.97911850517831,112269.0,2,1291.0,1264.5503846066574,28.266008377075195,0.32492542266845703,0.3183763619193729,0.774593338497289,0.7907949040014355
90,2,8321000.0,87000.0,92752.35335085708,2149.7143898010254,22.4717960357666,23.96218648310049,113574.0,2,1308.0,1265.0378048506877,28.594578742980957,0.32939624786376953,0.318499983623445,0.764525993883792,0.7904902099886493
91,2,8389000.0,69000.0,92488.5028104241,2167.278302192688,17.843719482421875,23.8942201304236,114835.0,2,1288.0,1265.2925384393513,28.912010192871094,0.3242197036743164,0.3185634359547764,0.7763975155279503,0.7903310654415375
92,2,8466000.0,63000.0,92164.5316516886,2187.1603088378906,16.272817611694336,23.810488697157698,116154.0,2,1278.0,1265.43196331,29.244120597839355,0.3217744827270508,0.3185986672068037,0.7824726134585289,0.7902439870289767
93,2,8525000.0,92000.0,92162.74369172589,2202.40735912323,23.756890296936035,23.809906245132947,117433.0,2,1302.0,1265.8288294154675,29.566170692443848,0.32782459259033203,0.31869879446021177,0.7680491551459293,0.789996227579821
94,2,8640000.0,55000.0,91763.23880372384,2232.10772895813,14.211841583251953,23.706725657079787,118719.0,2,1282.0,1266.0024478752873,29.889927864074707,0.3227977752685547,0.3187428023278584,0.7800312012480499,0.7898878881934904
95,2,8715000.0,104000.0,91893.38665418731,2251.481640815735,26.860694885253906,23.74027067024877,119963.0,2,1275.0,1266.0980221367722,30.20319652557373,0.3209362030029297,0.31876610118145265,0.7843137254901961,0.7898282617267792
96,2,8778000.0,75000.0,91715.60270253204,2267.7893781661987,19.37391185760498,23.694319639827985,121269.0,2,1267.0,1266.1075024699924,30.53192710876465,0.31899261474609375,0.3187684819761032,0.7892659826361483,0.7898223476672754
97,2,8816000.0,75000.0,91541.52173460249,2277.6162519454956,19.41574478149414,23.649761362992116,122555.0,2,1307.0,1266.5328368454993,30.855825424194336,0.3290853500366211,0.31887579062435806,0.7651109410864575,0.7895571049627568
98,2,8856000.0,26000.0,90865.98915709839,2287.9489336013794,6.718866348266602,23.475255632181316,123770.0,2,1210.0,1265.9508760371416,31.161601066589355,0.3046274185180664,0.31872911491141936,0.8264462809917356,0.789920066353871
99,2,8906000.0,40000.0,90347.06494460427,2300.866767883301,10.332681655883789,23.34117783356164,125055.0,2,1280.0,1266.0940270220701,31.485127449035645,0.3222513198852539,0.31876500377626654,0.78125,0.7898307540017866
100,2,8987000.0,62000.0,90060.79457090342,2321.798990249634,16.01242160797119,23.26716643987549,126367.0,2,1296.0,1266.3956748905612,31.815546989440918,0.3263082504272461,0.3188410890544633,0.7716049382716049,0.7896426210444991
101,2,9007000.0,69000.0,89850.23294875128,2326.970030784607,17.837635040283203,23.212883068221327,127656.0,2,1309.0,1266.8211140180942,32.13995552062988,0.32956695556640625,0.31894819562824794,0.7639419404125286,0.789377433746906
102,2,9115000.0,34000.0,89297.38076854547,2354.863554954529,8.789653778076172,23.070109916926114,128998.0,2,1302.0,1267.1689308101481,32.477919578552246,0.3278045654296875,0.3190357593485762,0.7680491551459293,0.7891607627726975
103,2,9169000.0,96000.0,89363.07855168493,2368.823513031006,24.792262077331543,23.086990120807684,130285.0,2,1313.0,1267.6176303577374,32.80191898345947,0.3306283950805664,0.31914925463682187,0.7616146230007617,0.7888814229554284
104,2,9202000.0,65000.0,89126.59431965987,2377.3500776290894,16.798124313354492,23.025946209726037,131595.0,2,1307.0,1267.9994570592,33.13168716430664,0.32898712158203125,0.3192446364109314,0.7651109410864575,0.788643870809885
105,2,9249000.0,33033.03303303303,88587.88129320041,2389.499402999878,8.536566007841337,22.886792665521668,132882.0,2,1299.0,1268.2971327610378,33.45576572418213,0.32703685760498047,0.3193194594524906,0.7698229407236336,0.7884587721357026
106,2,9312000.0,33966.03396603397,88067.26209746528,2405.774691581726,8.78355958006837,22.752370008187597,134164.0,2,1299.0,1268.5891461071694,33.778563499450684,0.3270759582519531,0.3193932311022543,0.7698229407236336,0.7882772787932405
