timeInSeconds,numberOfActiveIngestionThreads,numberOfRowsIngested,recordsIngestedPerSec,avgRecordsIngestedPerSec,MBIngested,MBIngestedPerSec,avgMBIngestedPerSec,numberOfRowsConsumed,numberOfActiveQueryThreads,recordsConsumedPerSec,avgRecordsConsumedPerSec,MBConsumed,MBConsumedPerSec,avgMBConsumedPerSec,queryAndConsumptionTimeInMs,avgQueryAndConsumptionTimeInMs
174,2,1.3985E7,82000.0,80848.17858343282,3632.5491437911987,21.307641983032227,20.999961138713907,281061.0,2,1614.0,1625.7442552795608,68.7715311050415,0.39492130279541016,0.3977959206386193,0.6195786864931846,0.6151028962596834
175,2,1.4064E7,79000.0,80837.52981712166,3653.0723276138306,20.524287223815918,20.997220418522975,282671.0,2,1607.0,1625.6358969615685,69.16549110412598,0.3932342529296875,0.3977695501782939,0.6222775357809583,0.6151438965324723
176,2,1.4139E7,73000.0,80792.63052968068,3672.570279121399,18.981685638427734,20.985673913750375,284330.0,2,1607.0,1625.5287842560235,69.57142448425293,0.39321041107177734,0.3977433458198097,0.6222775357809583,0.6151844308667119
177,2,1.4216E7,79000.0,80782.4194852983,3692.549964904785,20.512786865234375,20.98298029085358,285950.0,2,1660.0,1625.7257806428015,69.96801471710205,0.4061470031738281,0.3977913711098591,0.6024096385542169,0.6151098862469945
178,2,1.4294E7,77000.0,80760.99638645658,3712.7978591918945,19.977450370788574,20.977285108986628,287527.0,2,1623.0,1625.710291844713,70.35369205474854,0.39715099334716797,0.39778773226904013,0.6161429451632778,0.6151157466471396
179,2,1.4367E7,72000.0,80711.65478322576,3731.754927635193,18.703686714172363,20.964480288055924,289121.0,2,1569.0,1625.3898657505763,70.74370098114014,0.3838834762573242,0.39770917004866024,0.6373486297004461,0.6152370093302001
180,2,1.4443E7,75000.0,80679.66711096675,3751.5068645477295,19.48192024230957,20.9561773274171,290758.0,2,1599.0,1625.24159475009,71.1441879272461,0.3912630081176758,0.3976729524002706,0.6253908692933083,0.6152931374819803
181,2,1.4522E7,79000.0,80670.31265663463,3772.0294857025146,20.520556449890137,20.953751254072962,292342.0,2,1634.0,1625.2905287623473,71.53186798095703,0.3998222351074219,0.3976849606395945,0.6119951040391677,0.6152746123251553
182,2,1.4612E7,86000.0,80699.83052537135,3795.3966903686523,22.33464527130127,20.961399178934936,293985.0,2,1591.0,1625.100008889679,71.93386745452881,0.38930320739746094,0.3976383912042995,0.6285355122564424,0.615346744526346
183,2,1.4699E7,89000.0,80745.54687758183,3817.990261077881,23.110642433166504,20.97323695669318,295621.0,2,1637.0,1625.1657605092162,72.334153175354,0.4005270004272461,0.3976543517821569,0.6108735491753207,0.615321848576645
